"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2023","Jefferson County Sales and Use Tax","$102,564,520","25"
"2023","Lewis County Sales and Use Tax","$18,751,479","26"
"2023","Livingston County Sales and Use Tax","$45,570,942","27"
"2023","Madison County Sales and Use Tax","$40,105,922","28"
"2023","Monroe County Sales and Use Tax","$640,745,054","29"
"2023","Montgomery County Sales and Use Tax","$47,182,233","30"
"2023","Nassau County Sales and Use Tax","$1,560,671,466","31"
"2023","Niagara County Sales and Use Tax","$162,313,149","32"
"2023","Oneida County Sales and Use Tax","$190,056,963","33"
"2023","Onondaga County Sales and Use Tax","$459,579,421","34"
"2023","Ontario County Sales and Use Tax","$114,657,339","35"
"2023","Orange County Sales and Use Tax","$386,674,563","36"
"2023","Orleans County Sales and Use Tax","$22,790,891","37"
"2023","Oswego County Sales and Use Tax","$62,626,834","38"
"2023","Otsego County Sales and Use Tax","$49,033,280","39"
"2023","Putnam County Sales and Use Tax","$83,528,589","40"
"2023","Rensselaer County Sales and Use Tax","$123,560,908","41"
"2023","Rockland County Sales and Use Tax","$293,103,033","42"
"2023","St. Lawrence County Sales and Use Tax","$81,915,693","43"
"2023","Saratoga County Sales and Use Tax","$162,922,666","44"
"2023","Schenectady County Sales and Use Tax","$129,774,131","45"
"2023","Schoharie County Sales and Use Tax","$22,538,231","46"
"2023","Schuyler County Sales and Use Tax","$15,244,301","47"
"2023","Seneca County Sales and Use Tax","$32,517,466","48"
"2023","Steuben County Sales and Use Tax","$77,770,512","49"
"2023","Suffolk County Sales and Use Tax","$1,943,336,117","50"
"2023","Sullivan County Sales and Use Tax","$71,666,896","51"
"2023","Tioga County Sales and Use Tax","$32,239,625","52"
"2023","Tompkins County Sales and Use Tax","$66,554,192","53"
"2023","Ulster County Sales and Use Tax","$168,150,253","54"
"2023","Warren County Sales and Use Tax","$71,773,364","55"
"2023","Washington County Sales and Use Tax","$28,170,035","56"
"2023","Wayne County Sales and Use Tax","$61,644,598","57"
"2023","Westchester County Sales and Use Tax","$906,415,889","58"
"2023","Wyoming County Sales and Use Tax","$25,000,367","59"
"2023","Yates County Sales and Use Tax","$22,229,858","60"
"2023","City of Auburn Sales and Use Tax","$11,019,275","61"
"2023","City of Corning Sales and Use Tax","$1,148","62"
"2023","City of Fulton Sales and Use Tax","$998","63"
"2023","City of Geneva Sales and Use Tax","$820","64"
"2023","City of Glens Falls Sales and Use Tax","$4,569,398","65"
"2023","City of Gloversville Sales and Use Tax","$4,524,052","66"
"2023","City of Hornell Sales and Use Tax","$2,585","67"
"2023","City of Ithaca Sales and Use Tax","$14,647,153","68"
"2023","City of Johnstown Sales and Use Tax","$5,403,838","69"
"2023","City of Mount Vernon Sales and Use Tax","$28,839,177","70"
"2023","City of New Rochelle Sales and Use Tax","$41,211,742","71"
"2023","City of Norwich Sales and Use Tax","$2,447,433","72"
"2023","City of Ogdensburg Sales and Use Tax","$1,894,594","73"
"2023","City of Olean Sales and Use Tax","$5,282,425","74"
"2023","City of Oneida Sales and Use Tax","$6,621,968","75"
"2023","City of Oswego Sales and Use Tax","$18,959,548","76"
"2023","City of Rome Sales and Use Tax","$9,702,058","77"
"2023","City of Salamanca Sales and Use Tax","$852,070","78"
"2023","City of Saratoga Springs Sales and Use Tax","$17,069,932","79"
"2023","City of Sherrill Sales and Use Tax","$91","80"
"2023","City of Utica Sales and Use Tax","$14,051,709","81"
"2023","City of White Plains Sales and Use Tax","$56,316,892","82"
"2023","City of Yonkers Sales and Use Tax","$81,601,300","83"
"2023","City of Yonkers Special Sales and Use Tax","$40,816,953","84"
"2023","City of Newburgh Consumer Utilities","$1,567,426","85"
"2023","City of Port Jervis Consumer Utilities","$480,723","86"
"2023","Albany City School District Consumer Utilities","$5,072,001","87"
"2023","Batavia City School District Consumer Utilities","$885,689","88"
"2023","Cohoes City School District Consumer Utilities","$750,841","89"
"2023","Glen Cove City School District Consumer Utilities","$1,690,518","90"
"2023","Gloversville City School District Consumer Utilities","$846,136","91"
"2023","Hornell City School District Consumer Utilities","$403,273","92"
"2023","Hudson City School District Consumer Utilities","$860,218","93"
"2023","Johnstown City School District Consumer Utilities","$679,940","94"
"2023","Lackawanna City School District Consumer Utilities","$706,177","95"
"2023","Long Beach City School District Consumer Utilities","$1,967,758","96"
"2023","Middletown City School District Consumer Utilities","$2,476,968","97"
"2023","Mt. Vernon City School District Consumer Utilities","$3,230,904","98"
"2023","New Rochelle City School District Consumer Utilities","$4,242,056","99"
"2023","Newburgh City School District Consumer Utilities","$3,688,332","100"
"2023","Niagara Falls City School District Consumer Utilities","$2,477,246","101"
"2023","Ogdensburg City School District Consumer Utilities","$298,405","102"
"2023","Peekskill City School District Consumer Utilities","$1,242,718","103"
"2023","Poughkeepsie City School District Consumer Utilities","$1,886,238","104"
"2023","Rensselaer City School District Consumer Utilities","$490,531","105"
"2023","Rye City School District Consumer Utilities","$1,097,049","106"
"2023","Schenectady City School District Consumer Utilities","$3,124,010","107"
"2023","Troy City School District Consumer Utilities","$1,743,550","108"
"2023","Utica City School District Consumer Utilities","$2,447,863","109"
"2023","Watertown City School District Consumer Utilities","$1,441,563","110"
"2023","Watervliet City School District Consumer Utilities","$456,078","111"
"2023","White Plains City School District Consumer Utilities","$4,956,306","112"
"2023","New York City Convention Center Development Corporation Hotel Occupancy","$43,809,456","113"
"2023","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,660,402","114"
"2023","City of Long Beach Hotel Occupancy and Restaurant Meals","$3,620,497","115"
"2023","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$9,541,205","116"
"2022","New York State Sales and Use Tax","$16,497,853,997","1"
"2022","New York City Sales and Use Tax","$8,069,083,846","2"
"2022","Metropolitan Commuter Transportation District Sales and Use Tax","$1,119,978,533","3"
"2022","Albany County Sales and Use Tax","$325,712,767","4"
"2022","Allegany County Sales and Use Tax","$28,200,216","5"
"2022","Broome County Sales and Use Tax","$167,351,971","6"
"2022","Cattaraugus County Sales and Use Tax","$49,350,071","7"
"2022","Cayuga County Sales and Use Tax","$48,668,959","8"
